stimulus_id,filename,sha256,bytes,channels,sample_width_bytes,sample_rate_hz,frames
585,id=585_genre=popular_c-id=264_e-id=70_ic_category_1.wav,eadb1406872510ab236766c55c73fe37e9d7f4d4c1fce3a2c72a34e03db047a9,1764124,2,2,44100,441020
586,id=586_genre=popular_c-id=701_e-id=51_ic_category_1.wav,4e595f5b49eb46734ff4c96352daf50db007277221db593fc752a76be0563d29,1764124,2,2,44100,441020
587,id=587_genre=popular_c-id=117_e-id=40_ic_category_1.wav,3638b6ef0c03ba11906f984a03ffb8667ce22678c0f0c258a030e62ec2e19cc5,1764124,2,2,44100,441020
588,id=588_genre=popular_c-id=68_e-id=33_ic_category_1.wav,8bc94251abc190c0be67e6e3d18c5fafa6207b21fcc64265de738245430083bb,1764124,2,2,44100,441020
589,id=589_genre=popular_c-id=542_e-id=25_ic_category_1.wav,333e9ac0574402b008c9ba0a08c0979c0c4af8d0907f1ca4a8d60366742031a1,1764124,2,2,44100,441020
590,id=590_genre=popular_c-id=407_e-id=84_ic_category_1.wav,ae7e0bb4b14fc056a02bf06218d3502d635a83ee0eebfa42291bb00ba2bec8ee,1764124,2,2,44100,441020
591,id=591_genre=popular_c-id=593_e-id=98_ic_category_1.wav,247a1e652f39ff56a0343d1e5fe45952fbd1bb9ed04178c79180cd401111eb89,1764124,2,2,44100,441020
592,id=592_genre=popular_c-id=462_e-id=223_ic_category_1.wav,04ba0c95578275e8ceac3f53071a22511c9039e9b9a7a0eb87e7f49e39185774,1764124,2,2,44100,441020
593,id=593_genre=popular_c-id=571_e-id=42_ic_category_1.wav,fb4c7291012ce14ee8c287ac20820c6fd2290578c48ed650dd4a8927e8685283,1764124,2,2,44100,441020
594,id=594_genre=popular_c-id=138_e-id=114_ic_category_1.wav,378b9d11019f314f8cc1254784f0da51b032cce5aa39596fb75585fa708185db,1764124,2,2,44100,441020
595,id=595_genre=popular_c-id=237_e-id=18_ic_category_1.wav,609ae3f763892bfc2dbf4885713597765f61fdeb78d99b600a441eb5dc76091d,1764124,2,2,44100,441020
596,id=596_genre=popular_c-id=327_e-id=97_ic_category_1.wav,19b0ccb34ac7831a2c3a49d096d43cef6b810dfece6b5cc0c556833266cd77c0,1764124,2,2,44100,441020
